Name,pos_m0_1,pos_m0_2,pos_m0_3,pos_m0_4,pos_m0_5,pos_m0_6,pos_m100_1,pos_m100_2,pos_m100_3,pos_m100_4,pos_m100_5,pos_m100_6,pos_m200_1,pos_m200_2,pos_m200_3,pos_m200_4,pos_m200_5,pos_m200_6,pos_m300_1,pos_m300_2,pos_m300_3,pos_m300_4,pos_m300_5,pos_m300_6,pos_m500_1,pos_m500_2,pos_m500_3,pos_m500_4,pos_m500_5,pos_m500_6,pos_m700_1,pos_m700_2,pos_m700_3,pos_m700_4,pos_m700_5,pos_m700_6,TARGET
"7-(2-thienyl)[1,2,4]triazolo[4,3-a]pyrimidine",37850254.77,51307953.94,45312329.35,45892232.92,60411389.17,48697512.08,10181107.12,9783490.918,10702649.28,7744552.176,8494174.583,7122696.954,6577767.42,10257791.22,7950211.643,7079262.988,7629107.924,8546280.932,5912595.975,7020126.737,5211907.459,7687951.372,6344184.536,6573221.651,5563404.282,6627239.979,6927590.243,7549956.083,6372896.716,5467455.219,7444295.329,7325610.017,8374974.827,6429194.808,5250390.093,6098689.528,1
beta-Acetoxyisovalerylalkannin,10879135.2,11990182.89,2825377.576,12156209.59,13915326.36,12606169.91,45097475.65,50128111.26,47973999.25,45731422.66,42948332.03,46309813.03,31257923.42,17460048.97,35892572.4,34451644.36,27315781.86,32112581.17,32755387.48,22525329.28,34493933.31,30350063.7,34593732.56,22460918.51,26286762.77,33427725.55,31725247.27,29658055.09,25024052.46,27685563.36,37881704.32,42991455.63,34845050.66,35371723.43,38003673.68,30200029.36,1
2-{1-[2-(1-benzothiophen-5-ylamino)-2-oxoethyl]cyclohexyl}acetic acid,48772152.97,48054384.25,45223256.44,38417990.97,59839146.51,36821929.09,23113346.57,18853876.29,17411098.41,20279755.51,18993128.42,16586728.3,26946910.93,25743176.21,25391303.05,26007767.01,37375569.25,31352784.09,26311159.44,30557255.75,31906547.37,46578638.62,39073351.07,44520543.47,14601135.42,24170448.12,14949632.77,15319871.05,24329964.72,12633083.97,22315848.04,17852634.32,15828634.75,14159148.12,13673866.39,17118897.77,1
5α-Dihydrotestosterone,6553271.905,5340892.269,8536187.976,12443693.74,9200150.381,10033677.83,14695750.28,18054952.97,14652218.52,21090362.89,15971430.36,13643774.03,16857987.47,21430312.58,23561055.47,19979462.45,28486973.04,21006886.91,9446004.215,15187347.56,11356564.28,17111051.34,15245328.01,19691676.36,53848639.5,48315836.35,45132080.84,60080826.5,59944123.34,51672638.58,50887484.17,37688988.12,31498046.31,54276763.08,18939612.74,46575266.06,0
"5-Phenyl-2,4-pentadienoic acid",48845028.99,42742885.01,39679639.44,38289819.22,50264238.83,38484852.45,29221231.49,37159774.01,23858097.68,26538254.7,37190580.29,6677203.993,29248392.04,6789161.084,27423162.57,23188835.55,24915470.03,24266010.45,37915724.21,33334935.11,41142447.38,38187538.01,51868163.78,45617591.2,15641451.16,31679534.95,31959080.46,36524876.15,31753231.05,45400155.6,57934580.43,34911818.89,44643294.26,31995832.56,31404175.37,36772885.37,0
Anise oil,29371215.54,14257825.05,28392315.51,18442421.15,24488308.69,24453073.68,42177956.62,26332070.03,42202078.87,31180373.21,36178474.83,40239508.9,11463326.68,14130628.39,13655490.23,16511464.88,16905926.68,14486970.91,8892405.313,9108792.124,7922135.828,13432199.38,10529366.22,8799645.419,8789540.889,7981104.422,5802658.356,5766706.628,8002480.268,8579136.302,4698223.213,3008459.563,4784395.105,4476443.957,4238650.533,4488381.711,0
NMH,23405914.84,17838861.31,16713899.62,31167158.46,51128503.06,22220254.99,22165898.44,21781285.35,27570303.45,19074466.47,27580276.69,22304378.43,39781578.83,29348940.25,29713432.83,26011297.18,19916253.75,30652402.07,17658409.88,17436157.01,13267720.75,14563824.15,12743505.19,12679575.72,17819558.14,18706522.34,14782009.75,19437543.07,16334325.39,17912106.01,28432799.96,17609433.72,10392573.82,10275228.93,11172082.02,11972357.33,0
4-Ethylbenzaldehyde,40767612.49,37353919.81,28798171.62,39977431.84,40264668.83,41987763.34,2624695.693,2397731.183,2304563.769,3122039.9,2495936.922,2440522.035,2407357.688,2347256.443,2446459.509,1565853.693,2785986.399,2426162.281,3338723.617,4411131.998,2716557.49,3979887.602,5293185.285,2874553.565,5106917.422,5135233.525,4968140.898,5444097.656,4494325.29,5014328.999,4747513.391,5517364.426,4398257.886,3706533.598,4290482.823,5986548.11,1
Tricin O-sinapoylpentoside,20546240.8,14056160.75,18369559.29,20574217.61,25037371.77,16575707.87,34270086.75,36280724.86,36150002.67,34746809.57,32722683.79,38224706.13,21842460.14,16064858.23,21950255.23,21813234.79,17410965.1,14921563.35,47956676.36,26794805.41,25893436.54,25115045.61,29251644.15,31502118.93,17492611.49,17796761.99,13750548.61,10153922.78,7772023.721,14494438.94,16339383.49,12613653.13,11089225.6,7990918.431,10461984.8,35388981.27,1
1-Linoleoyl-Rac-Glycerol,10690902.12,14146479.65,10157427.57,8580465.302,8708845.61,10933599.15,17366558.25,13215774.92,16815227.7,15237315.35,20597406.35,16680583.52,35301318.78,34791387.87,32844891.61,37394261.1,36815191.59,29188955.77,17019415.89,16983609.11,15897969.16,19702181.23,19491469.51,23570556.65,34825540.34,23012313.85,28925509.36,29336632.2,27042918.84,12678318.06,23052891.89,22720699.82,26826717.59,18698176.6,22935508.24,28301675.55,0
AL 8810 Methyl ester,33064709.15,32568100.02,26323692.88,31719302.06,30825395.18,30311059,28787917.4,29616555.29,28445412.52,26867469.34,24487550.33,28632084.15,33746284.6,25863734.46,31046248.04,36007224.85,35947791.64,36119996.23,18250193.64,19806967.07,17812329.38,18073882.68,18646093.23,17611980.76,36010929.69,32626307.4,31013250.48,23776484.59,32226787.07,35405532.06,23538023.33,23889402.58,22290017.81,25786925.59,22943946.91,22871910.37,0
2-(Dimethylamino)Guanosine,36243907.68,45287777.5,28700672.48,36339815.57,38335221.28,37400852.8,21412631.6,22482259.52,20169490.35,19398668.47,22780094.89,23064679.5,28736951.72,23191951.62,20831111.42,19985241.89,23673403.45,22946174.9,27496347.15,31164650.12,33526704.11,29975419.55,26088134.92,28605471.56,24666141.52,21291774.39,30523312.37,26548213.28,27242597.2,21583831.8,34134060.47,27442313.66,21280354.96,22817117.75,23860748.39,24460305.52,1
Aflatoxin G2,20678754.5,20052529.59,17699867.66,21701313.26,28771154.87,20983981.27,40815181.24,33413659.66,32175193.5,32099651.48,35350586.38,34890993.46,30246518.14,35755231.51,26655822.25,26330959.54,34600928.91,26370540.26,29245674.74,25752094.03,24691155.25,29119084.41,25569262.43,26012142.4,22467898.98,21622509.35,23361682.28,24921820.15,22655969.61,21167838.01,27210264.74,27123144.56,27080107.89,29126909.57,34409646.18,34546357.66,1
Methyl dihydrojasmonate,18469281.44,13106691.74,13272910.4,8965382.321,17666407.36,14835800.69,20906366.27,24602570.39,31394844.58,27617948.66,34714318.96,34625550.49,23085915.2,22663179.79,24935406.1,33144647.9,31039126.67,28004196.9,11995565.67,16500046.01,11658911.17,13959590.01,17081150.91,23273133.27,31545611.16,24500889.96,21979350.82,25436286.9,25248502.41,28871224.87,14897671.22,13363157.78,14967053.09,14851099.58,12194654.56,14271888,1
L-cysteine,36751847.34,32546137.1,33171708.72,43018389.31,43723582.33,31418622.45,15482591.39,17977610.04,13456253,18348392.86,15088334.66,17146796.98,33169461.49,32245737,34362277.84,26985955.51,27581533.04,30776085.79,18481372.01,17205507.54,20073367.51,23013729.86,17502790.03,16222620.94,15003488.48,24247175.51,19075663.92,16400632.33,23321527.49,19130485.26,19505639.46,23801020.49,20371756.76,16735109.43,23338781.62,22956182.26,1
Palmitoleic Acid,11712873.53,12615008.4,9753058.704,11978437.97,25630409.09,15224968.64,19227897.31,26863399.36,26557010.2,21894950.25,31733954.42,38713692.92,17870844.3,20963108.39,21227861.09,19085974.49,18220525.47,25292937.79,8403788.272,14736001.67,10525395.16,12773780.28,19416342.2,26993028.18,24186848.02,16225201.63,21022317.68,18101832.47,22089502.15,18373279.57,13075526.84,13595755.04,11784696.69,19989637.39,13332793.39,16592388.02,1
Cinnamic acid,30656092.69,37844322.1,33334275.82,37885805.97,41637678.37,33885319.84,32208672.11,28956306.48,30274623.94,32828716.73,33120242,30904204.99,25936680.92,30812600.74,28470385.33,19545906.72,26353500.31,27936273.24,29431530.03,34346177.08,29880901.1,27038728.22,26816188.5,26352717.08,27006467.1,28908569.89,30945229.34,25710801.71,26512204.09,29599554.31,35270660.28,35346593.63,33455984.43,29821896.67,33984047.35,23890973.62,0
Sauchinone,28463337.11,12779788.86,12947781.91,16361349.32,41749318.95,9805862.357,21057119.66,27175403.46,27174331.08,22326165.76,22549308.34,25331907.9,15936317.82,10161981.22,11477416.56,14197563.02,16292541.61,16373332.76,19644081.85,23143481.37,28390296.67,26565232.74,24806376.67,14393316.88,10042687.13,13286749.09,11674612.42,10949069.54,26405898.69,9667602.218,21974761.13,21392476.73,23534525.68,20670906.84,18404653.5,22280681.5,0
PC O-18:1,11823212.69,15591340.76,13319547.26,10464621.74,11648578,17387374.29,17725794.09,18020823.9,21716928.09,21952366.34,32731659.82,18058720.84,30702304.48,29065195.88,26229966.39,29693338.57,24049845.72,17336119.41,8668988.828,9285899.265,8503631.688,11817014.87,11285797.47,11693430.52,7532165.204,8752450.124,7072542.974,12090216.88,4750831.664,8280942.288,656845.3755,752609.4017,845036.6715,847443.436,932508.4,3270403.855,0
Geraniol,33882419.78,15649094.8,19943312.88,24491114.68,38720609.3,19237114.91,26203148.86,20116514.34,21656602.78,17282323.79,19874316.21,11105552.46,15431346.03,16207163.36,18717211.95,20578123.12,16397079.79,8964432.484,20661005.95,23090806.09,22368819.1,30678965.54,36580252.15,28681639.67,17560080.37,15221006.17,15043946.49,12775967.91,17609861.08,16386803.35,15157385.35,10982294.5,8879746.355,9160309.577,8587235.676,13416731.47,0
"4,5-Dicaffeoylquinic acid",31884695.71,24338363.23,25563020.32,29111879.96,29407937.04,27805439.24,28084089.17,22533927.87,23426001.97,23530416.59,21061326.61,23571880.37,27080844.26,27440681.71,28277361.71,28730289.59,25007259.81,24761229.94,26262838.23,24122714.2,25271718.95,27105117.05,23259523.36,18641694.39,22788603.37,22796301.74,20888777.27,24424353.18,25135551.76,19147881.58,35413944.85,36953584.36,36080930.73,32420625.53,28705331.81,50630271.3,0
"16-Heptadecyne-1,2,4-triol",11279778.67,7943748.069,4961415.329,8136673.238,8306217.012,10766649.54,11512261.72,10671556.75,11057580.96,12750976.79,10185616.29,11840634.13,14221982.04,16556293.49,13479174.07,17453296.55,19337488.7,14535176.76,9169169.382,10065685.01,8596160.081,12037168.4,12701690.94,10445019.49,38858425.04,29833554.8,27998888.61,41286005.95,45163357.23,29116110.99,25888441.08,19220286.15,21191850.09,31581384.27,17619675.08,23959160.97,0
Melatonin,12261559.17,7960826.459,10371265.29,14562608.16,10919181.49,14289969.39,19187453.53,16229797.22,21045440.52,13821175.35,16661900.32,21178811.96,12029997.47,11168278.66,11445587.8,11497985.59,8943867.191,14446502.99,13422784.73,7533918.551,11985943.37,13214681.99,17019208.5,9047028.991,35491521.74,21139545.17,23346322.38,41317818.82,30123308.04,23781642.88,17833799.12,23730824.73,11427929.56,14125956.03,14121486.45,11700559.01,0
"N', N''-DiFeruloylspermidine",23395043.83,27346191.52,23303788.3,26726313.24,29208762.53,28006214.23,23316088.47,24662697.28,28408864.7,27439526.98,22382507.46,22298802.83,28055814.73,26196278.74,30386637.88,31254505.6,20510366.66,25761457.45,12975064.15,16924469.45,14407940.38,24546710.94,19143222.62,19162646.37,11134368.45,20186299.04,13778300.76,19458871.32,10689604.52,17848365.78,1309198.114,4349085.248,5070516.477,4152034.524,4903725.633,11521618.21,0
L-Threonine,26766423.49,35990219.31,28088943.43,31274002.04,36160201.69,25631342.35,18312511.25,12847301.17,12324773.98,16786788.12,11489468.61,12523395.52,12811163.22,11234084.52,11935877.8,11641107.52,9206827.195,15975586.84,7580224.821,10040383.9,7820439.891,8161811.663,6916816.298,8627031.701,10420649.69,11412026.86,13195157.22,13045799.26,11125589.39,14921873.05,12863509.46,10626817.75,9797075.488,6990986.343,12411844.05,7834713.373,1
4-chloro-5-morpholino-2-quinoxalin-2-ylpyridazin-3(2H)-one,14455234.51,10877549.03,11849879.61,12243337.47,18876145.26,12695718.01,23604317.47,21436956.4,28012274.64,23147956.78,25965892.23,23433266.26,13268817.98,11549900.34,11798736.21,11146389.88,11048200.81,13993434.46,14837493.79,7714767.392,20200941.7,19517372.51,18332772.74,15925921.08,18701551.76,20984331.86,16906361.87,16533722.65,19772347.81,18879217.55,13306773.79,15063856.51,12939090.58,11284167.21,14108284.43,15704429.55,1
Cocamidopropyl betaine,17204819.09,9235735.553,16447911.24,13924916.38,34735805.17,17382021.42,10193209.13,9712910.935,19012656.28,18308590.62,11852007.11,9985680.545,14006709.24,12356543.56,12480692.69,11699893.2,10152701.55,12201395.54,8928117.66,6591436.995,7853341,6266203.974,6443704.064,6388743.947,5970145.51,5838678.937,6547205.779,15651470.73,5682442,5709199.908,11921762.64,12312259.38,13282074.29,8254736.072,9191376.183,11035681.62,0
DL-Carnitine,4064578.88,4258970.449,3453018.812,4106596.156,5073961.805,3262226.449,6628859.112,5169334.436,10129203.93,6623217.749,9243409.774,6160444.069,17588388.11,17102521.44,18328764.26,17248835.78,13510283.4,24081403.46,20094727.92,21213048.14,22369105.02,24370468.73,23367028.18,28808430.63,28784643.93,35151328.46,31929995.02,15039473.62,26748520.39,22784748.87,44100965.45,45019540.92,43363161.84,25404444.19,26405833.42,42853410.88,0
Oleoyl ethanolamide,4746798.709,15873224.67,10285286.69,9242100.599,3573526.962,5257520.244,7559838.861,7622704.718,5196196.593,8675061.959,6287150.459,9418325.636,8516757.92,6956207.683,7495950.966,4456987.804,5079967.343,2922776.836,12795126.78,10357956.57,8240204.095,5545692.403,5415801.024,7530783.505,9849421.038,13521380.02,15355213.52,7069476.337,8621266.964,12269732.25,6437814.113,11287744.97,45905901.83,32008285.86,36906359.22,27515506.34,0
Linoleoyl ethanolamide,2080378.587,871234.6931,1482590.143,2007669.711,1420914.068,1990064.03,3991928.796,3380851.431,4319536.788,2341719.92,4444866.68,5339644.345,3951752.504,3680074.684,4177730.015,4078819.708,3703560.553,4071035.873,3748228.568,4980591.58,4435475.636,4266369.869,4632144.49,6125736.974,8659517.857,7351392.354,5877302.84,6553058.596,12604301.27,7694654.336,43306631.92,33915194.74,35971462.78,33108627.42,43792505.85,24266143.5,0
2-Arachidonoyl glycerol,5387576.114,8747734.548,7134450.025,4485310.867,2967287.933,5528586.405,9575184.936,13647765.12,18772145.34,17123705.52,16569603.25,25249566.33,28785755.78,18396945.02,21726826.95,19834714.06,16985551.99,10104886.24,11910935.26,13100933.34,8124659.933,12210370.37,9748060.66,12495646.07,19720202.2,21197232.22,19261735.02,10361049.41,20568813.91,15219542.74,2696487.191,13677745.86,12943124.31,18009901.51,12783857.44,13468380.69,1
RQH,19997318.17,29174025.51,17334042.72,10446756.93,9321669.449,9586005.693,10521627.2,7947697.174,8933603.187,11739903.48,14403018.11,14771361.1,28773128.88,24701859.14,17103229.06,24229149.78,15549627.36,16463508.26,14847550.07,16543218.33,9384651.635,10890215.47,15240722.2,13746984.96,7658484.001,9268374.528,8319792.778,2151603.23,7925303.36,9572178.114,6335784.569,8129341.403,12570669.34,11536754.94,10535780.58,22756501.23,0
Fisetin,19790673.93,15960552.09,18414132.21,20691949.47,31846767.01,19453670.06,21208963.97,16602203.64,20408488.76,8453149.028,22283133.49,11673827.85,16464490.68,17698842.4,20235356,11022262.1,13324588.69,18029373.23,3113468.405,3015010.642,4873636.591,4402677.725,3488138.155,2303529.305,1613376.032,2298071.514,2067570.638,1532330.265,1919638.127,2700101.881,4113778.582,4124319.601,4329834.625,6507250.423,3352000.417,9138277.584,0
N-(9H-Purin-6-ylcarbamoyl)threonine,23134432.17,18652090.17,18575942.1,19237460.87,31842603.56,19576860.04,15809293.07,14446410.91,15484268.51,16734305.42,15965525.04,19476520,16239831.65,16992036.15,21338192.82,18614043.57,15059766.76,15579904.17,15168700.6,15426425.78,15328630.64,17240931.96,17531674.29,17989192.41,12165763.12,12956257.7,11171195.37,12458378.78,11679257.19,14842130.79,21051314.8,12355646.5,13750602.52,11960764.85,11605443.11,25191830.99,0
Lactobionic acid,5212851.89,6725982.894,4265652.185,5505166.258,5991802.497,4503151.716,16147031.52,21109067.84,14685881.42,15498726.37,16664652.63,20270068.32,23582936.25,25501783.07,25032325.74,17225709.15,20941816.82,24349617.32,7838938.361,8850052.98,12646681.66,10373838.08,7577464.028,8330154.622,11106569.04,14960218.53,13940943.4,13810252.93,15297434.4,12930161.26,12834013.16,13236486.01,13275986.29,12589304.3,14148002.35,12342029.72,1
Isomucronulatol-7-O-glucoside,17633965.73,11395265.69,18185579.83,14038905.34,17729418.42,12923616.01,25055456.22,19733012.29,24710900.31,22682186.11,23063710.65,22498274.74,7999848.747,5464992.796,7882411.911,11648322.47,7980816.825,8087126.925,8025323.765,7043812.656,8883902.718,9713522.777,9250322.483,8457577.739,5162708.712,4442025.756,3658337.347,6561959.428,4621940.986,4595919.84,2197971.514,1663370.295,1921760.034,1732616.745,1574225.06,2322878.084,0
Thymine,11170109.36,14715725.41,7349890.248,12763152.1,13734883.74,8776733.106,20181498.12,18734120.35,18521118.36,22839321.17,23949047.93,28130636.02,17009058.31,17270445.94,26297575.03,22523321.52,18494913.13,20473662.96,17359737,15380907.31,16880575.35,15227785.78,14992271.64,18838959.09,11456464.9,13320029.36,13010696.48,10366885.3,9053414.615,13700098.85,15355823.53,15125507.07,15639885.85,12428249.46,13783660.37,14687626.05,1
diethyl 2-[(4-benzhydrylpiperidino)methylidene]malonate,4325019.738,3697214.782,3144689.946,2125781.526,4470768.515,5605906.824,6985869.449,9545807.707,8002979.03,8100486.237,11884112.65,14506482.72,19716929.57,16250594.94,16262019.12,23726896.38,24154033.21,25356905.34,3778045.643,7636872.106,3746349.781,3078824.448,7302197.526,12531022.89,15666947.74,8131327.47,9605454.534,5881004.571,12020009.55,14655794.89,9323838.816,10580043.76,9461079.875,12866001.92,12220294.9,8985696.768,1
Stiripentol,10991780.44,7987668.125,13424782.09,8991637.79,15271114.74,12774695.76,17850531.68,14635170.91,23799096.14,14758423.79,22719992.96,19071290.54,4530387.457,5546999.888,8131144.052,6142504.377,7080566.428,5055107.074,5250603.125,5007698.314,4905598.204,5586390.211,6270065.554,6876665.377,4248268.558,3754631.411,2897774.975,4423347.125,3400456.995,3464659.477,1435657.007,1352445.901,1527356.627,1469509.213,1389370.77,1612196.455,0
Methylophiopogonone A,8044008.571,10057345.88,10458385.56,11264377.68,7684941.906,8860602.887,17440685.2,16307226.62,15256068.62,12077766.68,13331778.16,14930572.56,14203377.96,15982407.39,17967311.11,14092660.94,14861161.45,14221106.69,23719074.33,20842479.73,21400759.19,23590194.26,26113521.01,20195828.68,23009313.34,30386347.84,33578787.17,23456590.09,33285646.62,25004702.44,19938704.98,20389590.12,24571809.12,21042850.94,21063073.27,17011141.54,1
3-[4-methyl-1-(2-methylpropanoyl)-3-oxocyclohexyl]butanoic acid,4095995.924,3957564.045,2709505.993,2564882.44,3622011.036,3183589.13,10209598.56,7508874.486,15693086.88,11193133.05,9763255.709,10051449.13,13351001.22,13642500.09,11190820.82,11450088.71,13065789.1,8735999.945,6720266.116,8346996.515,6628754.721,7251181.276,9052406.368,9400335.06,31765811.78,27035620.23,22483296.77,22598697.08,32263172.38,28717022.78,11410333.99,10990877.13,9109696.246,14501775.87,9468471.896,11971523.12,1
1-Naphthyl acetate,18596242.99,20692266.37,18941325.51,21122388.09,19305169.5,24434598.88,13680855.31,12949698.37,10682563.68,9275137.878,9052765.074,10956943.34,10718966.07,13153025.78,13156831.32,10912950.66,13240211.99,12005568.99,14541259.81,16743765.07,16662420.25,14539901.71,14768588.38,14810377.5,14120430.07,13874013.19,15893350.59,13536436.63,14079458.02,13668749.31,18190727.56,17037850.81,13389576.04,18183287.24,13369105.81,16637696.25,1
Apigenin C-pentoside,24521813.91,27286691.42,19954772.15,20864857.28,29019787.85,19959831.52,11304861.87,10023034.4,9909846.677,10137269.18,10287545.57,11246962.64,15495150.15,14943341.71,14897166.77,14237266.45,16163919.7,13920510.37,16055634.37,13540240.54,17060274.43,22715209.06,18245416.77,14858268.9,9197301.484,9327694.062,10769402.64,8064796.872,9985612.308,4074362.688,12933011.29,14350041.14,12086153.5,11391536.71,11426977.99,16974122.84,1
Mupirocin,10647115.5,8258761.487,7449687.673,10936680.43,13772039.22,11039006.57,16240044.95,18748250.63,20309038.31,18549983.74,20939732.42,15654161.15,22297827.16,21148760.59,24817163.68,22817613.7,21595307.56,16780188.34,13992994.17,15301351.97,17060046.97,18501325.14,17045808.96,17934707.4,14771082.73,12885677.02,12597795.05,17799823.02,13494631.63,12446489.94,3404908.928,3557707.08,3564137.905,3494480.083,3959576.217,3373022.741,0
6-Phosphogluconic acid,25237870.58,18513100.82,22939697.96,12118882.35,12753730.54,17990037.22,10991180.77,9997414.6,9220164.116,13104971.52,10469297.86,14242203.3,7778905.874,7724112.076,7285561.776,10033393.3,15225711.22,6314978.802,6549059.994,6824510.343,6236057.592,7012801.471,6171923.236,6432446.303,6637487.756,4317038.705,7276357.965,6211558.983,5792550.403,7521573.859,7819290.378,6992890.013,6390908.453,6005191.306,5563521.308,5086693.551,0
4-Hydroxybenzaldehyde,19997121.64,17950470.48,17876624.31,15701231.6,15832168.51,13292675.22,22847151.82,14549699.42,15199740.66,18229827.72,13924349.18,14848810.32,5288415.261,17806088.06,14289927.17,16669522.1,16525529.22,18788753.36,15566048.94,14728535.37,17990116.71,12591277.32,16863775.02,4567362.795,1573406.856,25320179.13,18359871.95,22367434.08,30173894.33,24719946.53,15176320.1,23662220.9,19660770.37,16846481.03,28396678.46,17734088.75,0
"N6,N6,N6-Trimethyl-L-lysine",13941629.04,24259442.17,25177855.47,20826604.9,24740857.96,11307699.94,6883664.731,9477748.127,6469900.51,9245019.437,5746855.584,11893939.55,9623033.147,9295573.555,8654680.159,7400276.747,7989747.258,9464384.445,6245546.683,6938617.277,6092029.76,6454124.728,6671831.074,5547756.771,9056454.149,12348157.18,12160605.43,8809940.799,11801963.31,9492662.083,3362583.724,4644817.081,9008429.644,6157351.745,9061071.06,9176023.75,1
3-(4-hydroxy-3-methoxyphenyl)propanoic acid,12509485.18,17275472.95,13834616.71,16974091.64,17291766.89,15533279.63,19021716.33,10335884.48,14647336.19,17242118.93,14572667.76,19488990.52,16774090.83,16557468.41,18190468.46,14576142.86,18968401.32,20457103.64,19530742.87,19707956.39,20794185.91,19090692.77,22129245.57,20394043.08,27968635.89,27783631.1,26765370.38,17823662.72,21837709.29,21610799.66,26897920.23,24132634.5,26572550.55,21560620.7,23123322.33,19330021.32,0
1-(4-bromophenyl)-2-phenylethan-1-one,17146937.09,11517728.41,13230352.96,13410022.28,20008909.54,15076671.9,14328599.43,17374885.5,16229557.67,12517851.09,20103837.7,15079627.95,17686924.92,16905231.1,19370246.75,16643158.86,19447720.57,17208888.25,11786101.72,14097349.39,14448330.33,18171566.39,12720436.33,14888076.3,22854205.05,25288664.78,26942681.32,23605856.62,22580435.64,19195217.88,20019024.23,18528444.55,15922408.38,15960650.07,13940079.8,20398073.23,0
"N-[2-chloro-6-(trifluoromethoxy)phenyl]-2,2-dimethylpropanamide",12622063.07,14424500.39,9931980.068,20232295.82,25313920.98,11119977.36,1952292.352,1073716.433,1923594.685,1137135.344,1049520.603,859843.8096,1901344.801,2238252.072,1425190.942,841883.0762,1172691.515,720766.2167,1119817.051,754930.7246,1110554.928,1986966.132,1750525.933,1047187.962,1117405.947,1335783.3,1176608.046,1007005.922,1085140.285,980161.4244,1132114.019,1549391.19,1284187.457,1427145.031,1639506.512,994857.2783,1
5-Hydroxyindole-3-acetic acid,12257023.84,7125151.548,9271332.243,5778955.207,8912044.07,9290024.292,8680376.691,9406428.828,9726882.786,8979997.465,10862391.48,11819361.49,17472786.87,20606121.54,17332480.34,18969845,18559686.34,18332075.82,12306347.93,14533764.55,10566499.92,8607274.106,10810361.55,18430977.39,9969930.852,9009186.402,8628491.796,8552287.711,10218365.92,10050648.18,9365076.751,8037535.817,9649811.489,11503135.99,21421246.49,9027624.082,0
Indole,18607280.25,16308528.75,13784964.18,11939367.17,19569929.96,20644831.18,2494279.549,2136182.685,2246073.163,1957534.158,2221627.85,2431301.654,3543174.342,3636988.299,2890720.563,3731358.413,3836772.214,3008077.919,2785174.342,3257089.962,2880513.254,2809115.214,2798810.615,2903526.718,13179607.24,9826611.941,8572458.589,14368493.77,9421686.686,9264413.753,7225753.498,5655305.702,6290806.283,6658873.26,6149350.053,6689057.346,1
Maltotetraose,11169157.62,5898988.237,9833616.936,8446145.865,24534239.11,9664822.709,16184901.99,14927902.48,18681650.55,12167024.19,17643078.67,12894758.91,6981169.274,6453303.629,6637001.245,6460750.497,4620486.448,5814527.987,4019646.051,4628553.35,4211308.022,6456440.753,2867161.906,6466229.659,2602914.518,3122966.666,2722930.653,3319113.035,2834418.666,2902977.404,3371391.948,5546219.024,2554038.299,2443840.512,2586957.481,2528411.448,0
WQH,13082173.48,8590795.457,23219202.88,14484983.06,10445428.7,14515827.79,4533273.663,6987419.959,4493903.626,6398951.453,4459693.324,4602902.685,4488595.662,4165309.645,4491162.837,3114205.018,3547202.775,3770264.642,6547609.359,5960507.576,7486510.548,4775207.765,6308568.367,3945135.553,7247256.448,11096873.36,12403029.76,8511499.474,14875950.96,10195352.73,6834750.539,9777657.869,9220009.132,7899671.022,9393771.554,8580148.874,1
Isoeugenol,20353054.4,17119390.52,14816353.77,20537413.06,24073528.52,14680358.23,7610729.971,6609636.647,6503926.095,6944657.619,6271202.378,6014014.667,8605383.748,7829548.811,8387193.056,6826843.061,9276438.919,6966124.275,10354376.88,9981972.754,10037921.57,13949359.28,13980338.15,12607958.76,5456364.493,5541176.535,6461701.987,6678494.243,7136701.822,5607851.293,8167575.554,7753177.76,7467130.735,6639439.226,6893723.677,8723070.109,1
Columbianadin,12049504.37,19032364.25,11453267.83,10910284.8,14049014.79,13040378.39,13967702.76,11054338.08,12992798.28,13035938.5,11128006.48,11030245.28,11792465.74,9127817.842,11552956.18,11411196.48,10384910.51,12032036.15,13793638.47,15968000.17,18294389.86,16903579.5,17227920.65,19658077.12,11569356.53,12149670.47,11870786.87,10655482.54,12247377.71,11481257.51,15271576.1,15217087.84,12030225.79,11954538.68,10322518.88,12736205.66,0
Minocycline,19825583.13,13568705.37,13569312.34,16881706.33,22822667.54,16222480.27,7382871.69,7454536.512,6648020.343,7055212.726,7860705.95,5688829.437,10451886.07,10146087.85,9808771.774,9775124.127,9587749.875,8090624.092,8181781.116,8900361.24,6322035.696,7135405.231,9948417.642,9613152.408,3942482.077,5086750.083,3739179.194,5680307.618,5821097.751,5027324.922,6989934.828,5748875.195,5664310.666,4187533.755,4551327.533,7200704.37,1
Gossypol,17634191.79,22201710.18,15926343.96,18879602.59,22349559.88,18248867.2,9634049.337,10436144.82,6704437.568,7683875.796,8737993.8,7349694.557,10399859.52,9565559.976,8391740.724,9539539.136,10575306.8,9594448.312,16397037.37,13924741.54,21159525.51,17985946.96,18173002.74,14017908.99,5830469.454,7361183.986,11161112.73,7416980.38,9261265.279,7413109.723,13233359.28,11687463.38,10984128.19,9674326.698,9123387.955,10386436.14,1
