Name,pos_m0_1,pos_m0_2,pos_m0_3,pos_m0_4,pos_m0_5,pos_m0_6,pos_m100_1,pos_m100_2,pos_m100_3,pos_m100_4,pos_m100_5,pos_m100_6,pos_m200_1,pos_m200_2,pos_m200_3,pos_m200_4,pos_m200_5,pos_m200_6,pos_m300_1,pos_m300_2,pos_m300_3,pos_m300_4,pos_m300_5,pos_m300_6,pos_m500_1,pos_m500_2,pos_m500_3,pos_m500_4,pos_m500_5,pos_m500_6,pos_m700_1,pos_m700_2,pos_m700_3,pos_m700_4,pos_m700_5,pos_m700_6,TARGET
Adenine,1254067544,703488699.3,852675493,272183444.8,1132071236,1045582060,1026894302,1122410712,1120405305,1011800896,1200881646,1307173733,979600774.1,1253480191,1076770417,1276696327,1083527372,1544800532,732924993.3,711730012,1071727817,610752851.2,1099562518,1035488563,1040147220,1144168522,968401388.3,1002359018,1292344460,1025175873,875246146.3,708734696.4,1041189561,922676346.5,1186290018,1150871505,0
Indole-3-acrylic acid,841640038.6,672388118.8,994626121.5,804748657.2,891904196.7,671014097,410143693,389495689.8,431464459.8,428174734.4,422817154.4,395928824.8,313744832.9,345815562.2,286272719.7,275776561.7,350256790.4,291601406.4,732962513.5,757244363.2,665489981.9,833158261.5,762523638.3,804274902.6,1589156156,1403326167,1187105264,1360731796,1343906764,1367152324,1127082267,1158443029,1029338817,999295045.4,992732730.5,1057509982,1
Hexadecanamide,685208738.1,590033378.3,540073756.3,751657005.5,550411348.9,640831558.4,597903756.3,743529382.9,470382768.2,685604397.1,587925599.1,794060251.7,795893115.7,327444963.3,680144900.9,549924042.7,452451183.7,368793757.4,960536099.4,753940731.5,698709443.2,715889624.2,740980813.4,718277189.8,793391691.6,839823963.1,848801800.7,628536068.1,605826615,862242655,574118288.7,700189399.6,1958378122,1816068559,1534058167,1786803205,0
1H-indene-3-carboxamide,503627425.4,268761309.2,235481525.6,314470287.7,683891333,795622862.6,51187000.02,38137981.28,40090834.31,32279320.01,45598676.42,34974781.48,18716293.37,17779814.95,17401771.29,18005958,28324742.44,22191384.55,18631757.48,32020592.42,36650916.39,35034585.26,33321651.61,25441410.39,62451380.9,46296234.58,44475899.23,85958320.98,41994722.95,49103323.73,26242549.54,30813023.57,24300855.18,19623845.29,22907679.17,29477000.08,1
Avocadyne 1-acetate,278588152.1,284309174.5,225234296.4,286583351.9,314982471.1,247392852.5,427981197.2,412723002.8,434941471.3,346648558.4,473354061.8,360242664.1,393778214,483085966.7,479632440.1,598747509.6,623469017.5,490794182.9,446453623.6,578243879.8,522944208.6,780792089.7,735177113.1,604102869.4,842401754.9,637278149.3,709866755.8,784298630,831110806,773024074.8,342937652.2,234157722.5,198064998.1,642523784.9,212872025.2,301598237.7,0
PC O-18:3,310074304.9,225185987.4,267521466,202397209.7,377491215.2,287505622.7,403250889.2,429307382.8,513251650.2,313518821,530040607,368924858.9,556239595.5,573950996.2,605574285.8,708271928.8,491817327.1,508253071.5,284216343,322999402,342335076.6,521722686,400394902.3,466792841.8,280120925.3,311118159.5,231964340.2,465616638.6,228497477.6,279450704.7,27037705.36,42104299.69,69274162.81,69061095.98,61179056.57,123595817.7,0
"2,3-Dinor-11β-prostaglandin F2α",289399142.3,280755392.1,248246948.5,178587758.9,218820864.9,233021425,495242197.4,467383373.7,389023546.8,474857001.1,441615287.1,569313542.7,433138796.3,500744058.1,423149914.7,517051230.5,537422731.6,499812474.5,374018907.7,398167436.8,338294277.5,299861702.3,387921912.5,376066354.1,481676103,529159194.4,465167281.5,363284767.6,457950523.4,520205430.3,295918124.1,297326528.8,337413709.6,291409096.3,337643586.3,284221699.8,1
PC O-18:2,253243419.6,246739010.8,216248105,225911325.2,289013510.8,270400580.7,363828383.6,377665885,433376483.8,371433873.9,450158989.1,348866778.9,514421993.9,540492959.8,560298457.4,525927242.2,484965106.9,390690802.4,269059112.7,281828887.1,285804410.8,437032631.2,383616626.1,421580336.4,273715243.1,246376615.2,208276562.5,426296263.5,198051405.3,285943367.4,11697127.99,35408279.8,58938495.37,54196388.43,47366315.5,126083248.6,0
Narcissoside,175981371.6,168754208.2,112390349.3,162231681.4,140195667,127683788.8,170004018.3,174170966.5,162388008.2,172747396.7,153169368.3,176268038.3,441752544.8,312418084.8,312106563.2,375025393.6,247471969,266034204.6,218622197,224157596.8,149401416.7,192637218,172675036.1,171273095.3,124739945.5,124835651.5,130909033.6,104113290.7,119962514.2,127241945.7,182831866.6,241519702.6,264232225.1,170201848.9,264588327.8,252085528.3,0
Prolylleucine,286916722.6,172070275,237670681.3,223599119.6,317153787.2,251719447.6,282658157.2,273106564.7,317046345.1,264022115.1,315416125.6,258045071.6,187497121.2,217800809.1,212989360.1,216074715.6,196526185.3,210528994.3,194187446.8,131847073.4,178604545.1,236631687.7,229935646.3,250268160.9,180813025.7,173513977.3,183299598.9,164074110.8,173825304.7,159363986.2,185653503.1,179823410.1,159149737.1,129789441,161301391.6,197934061.2,0
